timestamp,rpm,pitch_deg,blades,thrust_N,power_W,efficiency,disk_loading_N_m2,power_loading_N_W,tip_speed_m_s,cl,cd
2025-12-08T22:44:44.866360,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:44.982223,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:45.094409,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:45.221402,5000,11,1,860.0084727043901,1332.360364531969,6.332133063860469,1094.9967962545202,0.6454773765403127,261.79938779914943,1.1768613218617276,0.009092242181498188
2025-12-08T22:44:45.330869,5000,55,1,2157.3128445083785,4122.162485187946,5.1340137805514665,2746.7760239931667,0.5233449317585592,261.79938779914943,2.9521314340935487,0.02813030214988503
2025-12-08T22:44:45.455560,5000,58,1,2063.419354115171,4333.948954688436,4.670600432885121,2627.2271190313236,0.4761060583980755,261.79938779914943,2.8236447729437075,0.029575567201836166
2025-12-08T22:44:45.570945,5000,58,1,2063.419354115171,4333.948954688436,4.670600432885121,2627.2271190313236,0.4761060583980755,261.79938779914943,2.8236447729437075,0.029575567201836166
2025-12-08T22:44:45.720498,5000,58,1,2063.419354115171,4333.948954688436,4.670600432885121,2627.2271190313236,0.4761060583980755,261.79938779914943,2.8236447729437075,0.029575567201836166
2025-12-08T22:44:45.834030,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:45.943140,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:46.044375,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:46.146340,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:46.257657,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:46.373477,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:46.488815,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:46.605649,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:46.722480,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:46.831740,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:46.958995,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:47.074879,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:47.196944,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:47.318117,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:47.426656,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:47.534997,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:47.647364,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:47.767025,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:47.880892,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:47.994101,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:48.136572,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
2025-12-08T22:44:48.231657,5000,60,1,1988.1902719340173,4469.413628347615,4.363916206807554,2531.4424766841476,0.44484365003135107,261.79938779914943,2.7206990463513265,0.030499999999999992
